fecha,linea,cantidad
18 October 2014,PRODUCTO A,22.00
19 October 2014,PRODUCTO A,
20 October 2014,PRODUCTO A,53.00
21 October 2014,PRODUCTO A,106.00
22 October 2014,PRODUCTO A,45.00
23 October 2014,PRODUCTO A,44.00
24 October 2014,PRODUCTO A,40.00
25 October 2014,PRODUCTO A,28.00
26 October 2014,PRODUCTO A,12.00
27 October 2014,PRODUCTO A,53.00
28 October 2014,PRODUCTO A,52.00
29 October 2014,PRODUCTO A,42.00
30 October 2014,PRODUCTO A,43.00
31 October 2014,PRODUCTO A,92.00
1 November 2014,PRODUCTO A,23.00
2 November 2014,PRODUCTO A,8.00
3 November 2014,PRODUCTO A,51.00
4 November 2014,PRODUCTO A,78.00
5 November 2014,PRODUCTO A,76.00
6 November 2014,PRODUCTO A,60.00
7 November 2014,PRODUCTO A,59.00
8 November 2014,PRODUCTO A,14.00
9 November 2014,PRODUCTO A,10.00
10 November 2014,PRODUCTO A,76.00
11 November 2014,PRODUCTO A,69.00
12 November 2014,PRODUCTO A,100.00
13 November 2014,PRODUCTO A,47.00
14 November 2014,PRODUCTO A,58.00
15 November 2014,PRODUCTO A,40.00
16 November 2014,PRODUCTO A,23.00
17 November 2014,PRODUCTO A,93.00
18 November 2014,PRODUCTO A,76.00
19 November 2014,PRODUCTO A,83.00
20 November 2014,PRODUCTO A,72.00
21 November 2014,PRODUCTO A,68.00
22 November 2014,PRODUCTO A,16.00
23 November 2014,PRODUCTO A,12.00
24 November 2014,PRODUCTO A,98.00
25 November 2014,PRODUCTO A,122.00
26 November 2014,PRODUCTO A,102.00
27 November 2014,PRODUCTO A,101.00
28 November 2014,PRODUCTO A,112.00
29 November 2014,PRODUCTO A,40.00
30 November 2014,PRODUCTO A,22.00
1 December 2014,PRODUCTO A,145.00
2 December 2014,PRODUCTO A,70.00
3 December 2014,PRODUCTO A,97.00
4 December 2014,PRODUCTO A,70.00
5 December 2014,PRODUCTO A,100.00
6 December 2014,PRODUCTO A,33.00
7 December 2014,PRODUCTO A,23.00
8 December 2014,PRODUCTO A,39.00
9 December 2014,PRODUCTO A,85.00
10 December 2014,PRODUCTO A,66.00
11 December 2014,PRODUCTO A,59.00
12 December 2014,PRODUCTO A,53.00
13 December 2014,PRODUCTO A,22.00
14 December 2014,PRODUCTO A,28.00
15 December 2014,PRODUCTO A,60.00
16 December 2014,PRODUCTO A,69.00
17 December 2014,PRODUCTO A,46.00
18 December 2014,PRODUCTO A,82.00
19 December 2014,PRODUCTO A,82.00
20 December 2014,PRODUCTO A,21.00
21 December 2014,PRODUCTO A,13.00
22 December 2014,PRODUCTO A,88.00
23 December 2014,PRODUCTO A,100.00
24 December 2014,PRODUCTO A,56.00
25 December 2014,PRODUCTO A,11.00
26 December 2014,PRODUCTO A,96.00
27 December 2014,PRODUCTO A,38.00
